,player_number,shoe_size,games_this_season,games_last_season,games_career,times_faced_opponent,bounces_per_bowl,bumper_inflation,win
83,1147044,5,5,10,100,8,7,100,0
84,1147699,5,25,70,800,36,7,1000,1
85,1147748,7,50,60,100,16,4,1000,1
86,1148278,5,15,60,400,32,4,400,1
87,1148873,5,30,60,600,40,6,800,1
88,1152331,6,5,10,100,4,3,100,0
89,1155546,4,5,10,200,4,2,100,0
90,1156272,3,5,10,100,4,3,100,0
91,1156948,5,5,10,200,4,1,100,0
92,1157734,6,5,10,100,4,3,100,0
93,1158247,3,5,10,100,4,2,100,0
94,1160476,4,5,10,100,4,3,100,0
95,1164066,3,5,10,100,4,3,100,0
96,1165297,4,5,10,200,4,1,100,0
97,1165790,7,5,10,100,4,3,100,0
98,1165926,11,30,90,200,24,2,900,1
99,1166630,9,25,60,1000,40,7,900,1
100,1166654,12,15,50,100,20,3,1000,1
101,1167439,4,15,40,400,20,2,500,1
102,1167471,6,5,20,100,4,3,100,0
103,1168359,10,10,30,100,12,7,100,1
104,1168736,12,50,100,1000,4,8,800,1
105,1169049,9,15,40,400,12,3,200,1
106,1170419,12,50,100,800,40,4,100,1
107,1170420,3,30,80,1000,40,5,700,1
108,1171710,3,5,10,100,4,2,300,0
109,1171710,8,25,40,400,36,7,800,1
110,1171795,3,15,10,200,8,5,300,0
111,1171845,10,30,40,300,36,3,100,1
112,1172152,12,15,30,1000,40,7,300,1
113,1173216,12,50,100,300,32,8,100,1
114,1173235,5,15,20,100,12,3,100,0
115,1173347,3,5,10,100,20,1,100,0
116,1173347,10,15,30,100,8,3,200,0
117,1173509,6,25,50,1000,40,7,500,1
118,1173514,3,5,10,100,12,1,100,0
119,1173681,5,10,10,100,8,3,100,0
120,1174057,3,5,20,200,4,3,100,0
121,1174057,6,10,10,100,8,3,100,0
122,1174131,12,50,100,200,40,5,300,1
123,1174428,7,15,50,100,40,5,300,1
124,1175937,7,20,60,700,28,8,1000,1
125,1176406,3,5,10,100,4,2,100,0
126,1176881,9,25,30,700,40,7,500,1
127,1177027,5,5,10,100,4,3,100,0
128,1177399,10,15,50,400,40,1,600,1
129,1177512,3,5,10,100,4,1,100,0
130,1178580,7,5,30,100,4,2,100,0
131,1179818,4,5,10,100,4,3,100,0
132,1180194,7,50,80,1000,40,3,600,1
133,1180523,5,5,10,100,4,2,200,0
134,1180831,5,5,10,100,4,2,100,0
135,1181356,7,5,10,100,8,3,300,0
136,1182404,6,5,10,100,4,2,100,0
137,1182410,5,5,10,100,4,1,100,0
138,1183240,6,5,20,100,4,2,100,0
139,1183246,3,5,10,100,-4,2,100,0
140,1183516,5,5,10,100,4,1,100,0
141,1183911,4,5,10,100,4,1,100,0
142,1183983,11,25,50,400,20,4,300,1
143,1184184,3,5,10,100,20,1,100,0
144,1184241,4,5,10,100,4,2,100,0
145,1184840,3,5,30,100,-4,2,100,0
146,1185609,5,20,50,200,32,4,100,1
147,1185610,3,5,10,100,8,2,100,0
148,1187457,5,5,10,300,4,5,800,0
149,1187805,10,40,70,400,40,7,800,1
150,1188472,3,5,10,100,4,3,100,0
151,1189266,9,10,40,100,40,5,400,1
152,1189286,12,50,80,600,20,8,1000,1
153,1190394,6,5,10,100,12,1,100,0
154,1190485,3,5,10,100,4,1,100,0
155,1192325,7,25,50,600,40,3,100,1
156,1193091,3,10,20,100,4,2,100,0
157,1193210,4,5,10,100,4,3,100,0
158,1193683,3,5,20,100,-4,1,100,0
159,1196295,11,45,100,300,40,7,1000,1
160,1196915,12,35,70,400,40,5,700,1
161,1197080,6,5,10,100,4,3,200,0
162,1197270,5,5,10,100,4,3,100,0
163,1197440,3,5,10,200,12,1,100,0
164,1197510,7,5,10,100,-4,3,100,0
165,1197979,6,5,10,100,8,3,200,0
166,1197993,7,30,70,800,40,3,1000,1
167,1198128,12,40,100,1000,4,3,100,1
168,1198641,5,5,10,100,4,3,100,0
169,1199219,3,5,10,200,4,1,100,0
170,1199731,5,5,10,100,4,1,100,0
171,1199983,3,5,10,100,4,3,100,0
172,1200772,3,5,10,100,4,2,100,0
173,1200847,8,50,100,1000,40,10,1000,1
174,1200892,10,30,50,400,40,6,100,1
175,1200952,7,40,70,700,40,5,700,1
176,1201834,4,5,10,100,4,3,100,0
177,1201936,7,50,100,300,4,5,1000,1
178,1202125,6,5,10,100,4,3,100,0
179,1202812,7,15,30,300,40,3,100,1
180,1203096,3,5,10,100,4,3,100,0
181,1204242,3,5,10,100,4,1,100,0
182,1204898,8,5,10,100,4,3,100,0
183,1205138,7,40,80,800,40,7,800,1
184,1205579,10,35,60,400,40,5,100,1
185,1206089,4,5,10,100,4,3,100,0
186,1206695,3,25,80,600,32,7,1000,1
187,1206841,12,25,60,1000,40,7,700,1
188,1207986,7,40,40,1000,32,9,1000,1
189,1208301,3,10,30,100,4,3,100,0
190,1210963,12,50,100,800,32,7,1000,1
191,1211202,9,25,100,1000,40,4,1000,1
192,1212232,7,5,10,100,4,2,100,0
193,1212251,3,5,10,100,4,3,100,0
194,1212422,5,5,10,100,4,3,100,0
195,1212422,6,5,10,100,4,3,100,0
196,1213375,10,20,40,500,28,7,800,0
197,1213383,7,5,10,400,4,3,100,0
198,1214092,3,5,10,100,4,1,100,0
199,1214556,5,5,10,100,4,2,100,0
200,1214966,11,35,70,500,40,7,800,1
201,1216694,12,40,80,400,40,8,100,1
202,1216947,3,5,10,100,4,3,100,0
203,1217051,7,5,10,100,4,3,100,0
204,1217264,3,5,10,100,4,3,100,0
205,1218105,7,50,100,900,40,7,1000,1
206,1218741,12,50,90,300,20,3,500,1
207,1218860,3,5,10,100,4,3,100,0
208,1218860,3,5,10,100,4,3,100,0
209,1219406,7,5,10,100,4,3,100,0
210,1219525,10,50,100,1000,40,8,1000,1
211,1219859,10,50,80,800,32,7,700,1
212,1220330,3,5,10,100,4,3,100,0
213,1221863,12,50,100,1000,40,7,1000,1
214,1222047,12,50,100,1000,40,10,600,1
215,1222936,10,35,80,700,20,5,1000,1
216,1223282,3,5,10,100,4,2,100,0
217,1223426,3,5,10,100,4,3,100,0
218,1223793,8,50,70,700,16,8,1000,1
219,1223967,8,5,30,100,4,3,100,0
220,1224329,3,5,10,200,4,3,100,0
221,1225799,12,30,40,300,40,9,1000,1
222,1226012,6,5,10,300,20,2,100,1
223,1226612,9,25,60,300,32,7,400,1
224,1227210,12,25,50,600,40,7,900,1
225,1227244,3,5,10,100,4,2,100,0
226,1227481,12,25,70,400,40,8,900,1
227,1228152,10,45,90,500,20,7,700,1
228,1228311,3,5,10,100,4,3,100,0
229,1230175,12,50,100,300,40,9,1000,1
230,1230688,9,20,70,400,28,7,600,1
231,1231387,8,40,70,500,32,8,900,1
232,1231706,10,20,60,300,4,4,300,0
233,1232225,12,20,50,500,40,4,100,1
234,1236043,5,15,20,100,4,3,600,0
235,1241232,5,5,40,100,-4,3,100,0
236,1241559,12,40,80,200,40,4,800,1
237,1241679,11,40,80,500,8,4,1000,1
238,1242364,10,50,100,800,36,3,1000,1
239,1243256,12,20,30,200,40,5,300,1
240,1270479,7,5,30,300,8,2,300,0
241,1276091,5,5,10,300,4,3,100,0
242,1277018,4,5,10,100,4,3,100,0
243,128059,3,5,10,100,20,5,100,0
244,1285531,3,5,10,100,4,3,100,0
245,1287775,7,5,10,200,8,3,100,0
246,144888,10,50,100,800,40,7,800,1
247,145447,10,20,40,100,36,3,300,1
248,167528,6,5,10,100,4,3,600,0
249,169356,5,5,10,100,-4,3,100,0
250,183913,3,10,20,100,4,1,100,0
251,191250,12,20,40,1000,40,5,300,1
252,1017023,8,15,30,500,40,3,500,0
253,1100524,8,50,100,200,40,7,300,1
254,1116116,11,50,100,100,32,3,300,1
255,1168736,7,30,60,200,40,3,600,1
256,1182404,5,5,10,100,4,1,100,0
257,1182404,5,5,10,100,4,2,100,0
258,1198641,5,5,10,100,4,3,100,0
259,242970,7,35,70,100,32,3,400,0
260,255644,12,25,80,1000,40,5,100,1
261,263538,7,50,100,600,40,10,600,1
262,274137,10,40,90,400,40,7,800,1
263,303213,12,20,40,1000,40,5,500,1
264,314428,9,45,40,1000,12,5,300,1
265,1182404,7,5,40,100,4,3,200,0
266,1198641,12,50,60,300,40,4,300,1
267,320675,5,15,50,200,40,7,100,1
268,324427,12,40,80,200,16,8,700,1
269,385103,3,5,10,100,4,3,100,0
270,390840,10,20,70,100,40,3,900,1
271,411453,7,5,10,100,4,3,100,0
272,320675,5,15,50,200,40,7,100,1
273,428903,9,10,40,100,16,3,300,1
274,431495,5,5,10,100,4,3,200,0
275,432809,5,5,30,100,-4,2,100,0
276,434518,5,5,10,100,4,2,100,0
277,452264,3,5,10,100,4,2,100,0
278,456282,3,5,10,100,4,3,100,0
279,476903,12,25,70,300,28,3,300,1
280,486283,5,5,10,100,4,3,100,0
281,486662,4,5,10,200,4,3,100,0
282,488173,3,20,30,1000,40,5,600,1
283,492268,12,20,60,100,40,5,300,1
284,508234,9,20,50,1000,40,3,800,1
285,527363,10,50,100,1000,40,10,700,1
286,529329,12,50,100,1000,40,4,1000,1
287,535331,5,5,10,100,4,2,100,0
288,543558,8,5,30,100,20,5,1000,1
289,555977,7,30,60,800,40,4,1000,1
290,560680,3,5,10,100,4,1,100,0
291,561477,3,5,10,100,4,3,100,0
292,563649,10,40,80,100,-4,6,1000,1
293,601265,12,20,40,600,40,2,300,1
294,606140,3,5,10,100,-4,2,100,0
295,606722,7,25,70,800,40,7,400,1
296,616240,7,15,40,300,20,4,700,0
297,61634,7,20,30,100,-4,2,300,0
298,625201,10,10,10,100,4,1,100,0
299,63375,11,5,20,600,40,7,700,1
300,635844,10,20,100,500,16,7,1000,1
301,636130,3,5,10,100,4,3,100,0
302,640744,12,50,100,700,40,7,1000,1
303,646904,3,5,10,100,4,3,100,0
304,653777,10,15,40,900,40,3,300,1
305,659642,12,40,40,400,40,3,1000,1
306,666090,3,5,10,100,4,3,100,0
307,666942,3,5,10,100,4,3,100,0
308,667204,9,40,70,600,12,8,800,1
309,673637,5,5,10,100,20,5,100,0
310,684955,4,5,10,100,4,2,100,0
311,688033,3,5,10,100,4,1,100,0
312,691628,10,30,40,1000,4,3,500,1
313,693702,3,5,10,100,4,1,100,0
314,704097,3,5,10,100,4,2,100,0
315,704168,6,30,50,600,-4,4,900,0
316,706426,7,25,50,200,40,4,300,1
317,709287,8,40,70,800,32,8,900,1
318,718641,3,5,10,100,4,3,100,0
319,721482,6,20,40,400,20,7,300,0
320,730881,9,30,30,200,40,7,400,1
321,733639,5,5,10,100,-4,3,100,0
322,733639,5,5,10,100,4,3,100,0
323,733823,7,20,60,1000,40,4,100,1
324,740492,3,5,10,100,4,3,100,0
325,743348,5,10,20,100,4,2,300,0
326,752904,12,5,10,100,40,5,400,1
327,756136,3,5,10,100,4,2,100,0
328,760001,10,50,30,200,16,3,1000,1
329,760239,12,20,60,400,40,7,100,1
330,76389,12,20,70,200,32,6,100,1
331,764974,7,5,10,100,4,3,100,0
332,770066,7,10,20,200,4,2,200,0
333,785208,7,20,60,600,40,4,300,1
334,785615,10,30,70,300,40,3,400,1
335,792744,3,5,10,100,4,1,100,0
336,797327,8,25,50,800,40,3,400,1
337,798429,3,5,10,100,4,3,100,0
338,704097,3,5,10,100,4,2,100,0
339,806423,10,25,50,500,40,4,300,1
340,809912,12,15,30,100,40,7,600,1
341,810104,3,5,10,100,4,3,100,0
342,814265,4,5,10,100,4,1,100,0
343,814911,3,5,10,100,4,1,100,0
344,822829,9,30,40,800,40,9,500,1
345,826923,3,5,10,100,4,1,100,0
346,830690,7,10,20,200,4,1,300,0
347,831268,3,5,10,100,4,1,300,0
348,832226,5,20,40,1000,4,3,300,1
349,832567,6,10,30,500,32,7,600,1
350,836433,7,5,10,300,4,1,100,0
351,837082,4,5,10,100,4,3,100,0
352,846832,5,20,50,300,12,4,600,0
353,850831,4,35,100,1000,40,4,900,1
354,855524,3,5,10,100,4,2,100,0
355,857774,6,5,10,100,4,2,200,0
356,859164,7,15,30,100,12,3,300,1
357,859350,10,50,100,700,40,7,300,1
358,866325,10,50,50,300,16,4,1000,1
359,873549,12,15,50,400,28,3,500,1
360,877291,8,50,100,1000,40,8,1000,1
361,877943,5,50,30,1000,40,5,100,1
362,888169,5,10,20,100,12,2,100,0
363,888523,6,20,40,200,12,2,100,0
364,896404,4,5,10,100,4,3,100,0
365,897172,4,5,10,100,4,2,100,0
366,95719,8,50,100,1000,40,7,1000,1
367,160296,7,40,80,1000,40,8,1000,1
368,342245,3,5,30,100,4,1,100,0
369,428598,3,5,30,100,4,2,100,0
370,492561,6,15,20,100,4,2,100,0
371,493452,3,5,30,100,4,1,100,0
372,493452,6,5,20,100,4,2,100,0
373,521441,7,5,10,200,4,2,100,0
374,560680,5,5,20,100,4,2,100,0
375,636437,3,5,10,100,4,1,100,0
376,640712,3,5,10,100,4,2,100,0
377,654244,3,5,10,100,4,2,100,0
378,657753,5,5,10,400,4,2,200,0
379,685977,7,15,40,100,4,3,100,0
380,805448,3,5,10,100,4,1,100,0
381,846423,12,30,30,600,40,7,800,1
382,1002504,5,10,20,200,4,3,200,0
383,1022257,4,5,10,100,4,1,100,0
384,1026122,4,5,10,100,4,1,100,0
385,1071084,5,15,20,200,4,1,200,0
386,1080233,9,30,60,300,40,7,100,1
387,1114570,7,15,30,200,4,3,100,0
388,1114570,4,5,10,100,4,2,200,0
389,1116715,7,5,10,100,8,2,200,0
390,1131411,3,5,10,200,4,2,100,0
391,1151734,12,40,70,400,40,7,900,1
392,1156017,5,5,10,100,4,2,100,0
393,1158247,3,5,10,100,4,1,100,0
394,1158405,3,10,30,100,4,2,100,0
395,1168278,5,5,10,100,4,2,100,0
396,1176187,5,5,10,100,4,3,100,0
397,1196263,6,5,10,100,4,1,100,0
398,1196475,5,10,10,100,4,2,200,0
399,1206314,3,10,30,100,4,1,100,0
400,1211265,5,50,80,700,36,9,300,1
401,1213784,5,5,10,100,4,1,100,0
402,1223003,7,15,30,100,4,2,100,0
403,1223306,5,5,10,100,16,1,100,0
404,1223543,3,10,10,300,4,1,200,0
405,1229929,3,5,10,100,4,2,100,0
406,1231853,6,10,20,100,4,2,100,0
407,1234554,3,5,10,100,4,2,100,0
408,1236837,4,15,20,200,8,3,100,0
409,1237674,5,5,20,100,4,2,100,0
410,1238021,3,5,10,100,4,2,100,0
411,1238464,3,5,10,100,-4,2,100,0
412,1238633,12,50,100,600,16,8,500,1
413,1238915,7,5,20,100,4,3,100,0
414,1238948,10,25,60,200,40,6,600,1
415,1239232,5,15,20,600,12,3,500,0
416,1239347,10,35,80,500,40,7,200,1
417,1239967,3,5,10,100,4,2,100,0
418,1240337,7,10,20,200,8,3,200,0
419,1253505,4,15,10,100,4,1,100,0
420,1255384,5,10,20,300,12,3,100,0
421,1257200,12,50,100,700,40,8,200,1
422,1257648,6,15,30,100,4,3,300,0
423,1257815,7,5,30,100,4,2,100,0
424,1257938,5,5,10,100,4,1,100,0
425,1258549,11,50,100,1000,40,10,1000,1
426,1258556,7,15,60,100,4,1,100,0
427,1266154,10,35,80,200,8,5,1000,1
428,1272039,3,5,10,100,4,2,100,0
429,1276091,4,5,10,100,4,2,100,0
430,1276091,3,15,10,100,4,2,200,0
431,1276091,7,5,10,300,4,3,200,0
432,1277629,7,5,10,100,4,2,200,0
433,1293439,5,10,20,300,4,1,100,0
434,1293439,8,45,70,500,32,4,200,0
435,1294562,12,40,100,100,40,5,100,1
436,1295186,12,50,100,100,4,2,800,1
437,527337,6,5,10,100,4,1,100,0
438,558538,6,5,30,300,4,1,100,0
439,566509,7,5,10,100,4,1,100,0
440,608157,12,20,30,1000,40,10,100,1
441,677910,7,10,20,400,16,1,100,0
442,734111,3,5,10,300,12,1,100,0
443,734111,3,5,10,100,8,1,100,0
444,780555,7,5,10,600,4,2,100,0
445,827627,4,5,10,100,4,1,100,0
446,1049837,3,5,10,100,4,1,100,0
447,1058849,7,5,10,100,4,1,100,0
448,1182404,3,5,10,100,4,1,100,0
449,1193544,7,35,90,800,40,8,1000,1
450,1201870,6,5,10,300,4,2,100,0
451,1202253,7,5,10,100,4,1,100,0
452,1227081,5,5,10,300,4,1,100,0
453,1230994,6,25,50,800,40,10,700,1
454,1238410,4,15,10,100,4,1,100,0
455,1246562,12,10,20,100,24,1,100,1
456,1257470,12,30,50,800,40,8,600,1
457,1259008,10,40,90,600,12,10,1000,1
458,1266124,7,5,20,100,4,1,100,0
459,1267898,7,5,30,100,4,1,100,0
460,1268313,7,5,10,300,4,1,100,0
461,1268804,5,5,10,100,20,1,100,0
462,1276091,8,5,10,300,4,1,100,0
463,1280258,6,5,10,100,4,1,200,0
464,1293966,6,5,10,100,4,1,100,0
465,1296572,12,45,80,700,16,7,1000,1
466,1298416,12,30,60,200,40,9,700,1
467,1299596,8,30,60,500,40,7,600,1
468,1105524,6,5,10,100,4,1,100,0
469,1181685,3,5,20,100,4,2,100,0
470,1211594,5,5,10,100,4,2,100,0
471,1238777,8,5,10,300,4,1,100,0
472,1257608,8,5,10,100,4,1,100,0
473,1269574,6,5,10,100,4,1,100,0
474,1277145,7,5,10,100,4,1,100,0
475,1287282,5,5,10,100,4,1,100,0
476,1296025,6,5,20,100,4,1,100,0
477,1296263,6,5,10,100,4,1,100,0
478,1296593,7,10,10,100,4,1,100,0
479,1299161,6,40,70,1000,40,7,500,1
480,1301945,7,5,10,100,4,1,100,0
481,1302428,7,15,20,400,4,1,100,0
482,1318169,11,50,100,1000,20,10,1000,1
483,474162,10,35,80,500,40,9,1000,1
484,787451,7,5,20,100,4,1,100,0
485,1002025,3,5,10,300,12,1,100,0
486,1070522,5,5,10,100,4,2,100,0
487,1073960,12,50,100,1000,40,8,100,1
488,1076352,5,30,40,1000,12,3,400,1
489,1084139,8,15,20,100,16,4,100,1
490,1115293,3,5,10,100,4,1,100,0
491,1119189,7,40,90,400,40,7,100,1
492,1133991,6,5,10,100,4,2,100,0
493,1142706,7,50,100,1000,40,6,500,1
494,1155967,7,5,20,1000,20,2,100,0
495,1170945,5,5,10,100,4,2,100,0
496,1181567,3,5,10,100,4,1,100,0
497,1182404,6,10,10,100,4,1,100,0
498,1204558,6,5,10,100,4,2,100,0
499,1217952,6,5,10,100,4,2,100,0
500,1224565,8,5,10,100,4,3,100,0
501,1238186,6,5,10,100,4,2,100,0
502,1253917,6,5,10,200,4,2,100,0
503,1265899,6,5,10,100,4,3,100,0
504,1268766,3,5,10,100,4,1,100,0
505,1277268,5,15,10,100,4,1,100,0
506,1286943,10,50,100,1000,20,4,800,1
507,1295508,3,5,10,100,16,1,100,0
508,1297327,7,5,10,100,4,1,100,0
509,1297522,4,5,10,100,4,1,100,0
510,1298360,3,5,10,100,4,1,100,0
511,1299924,7,5,10,100,4,2,100,0
512,1299994,7,5,10,100,4,1,100,0
513,1304595,5,5,10,100,4,2,100,0
514,1306282,8,30,70,1000,40,8,1000,1
515,1313325,6,50,40,700,40,9,1000,1
516,1320077,3,5,10,100,4,1,100,0
517,1320077,3,5,10,100,4,2,100,0
518,1320304,5,5,20,200,4,1,100,0
519,1330439,6,35,80,300,40,9,100,1
520,333093,3,5,10,100,4,1,100,0
521,369565,6,5,10,100,4,1,100,0
522,412300,12,20,50,400,20,7,300,1
523,672113,9,25,60,1000,40,5,300,1
524,749653,5,5,10,100,4,2,100,0
525,769612,5,5,10,200,4,1,100,0
526,769612,6,5,10,100,4,1,100,0
527,798429,6,5,10,100,4,3,100,0
528,807657,8,5,30,200,4,1,100,0
529,8233704,6,5,10,100,4,2,100,0
530,837480,9,20,40,300,40,6,900,1
531,867392,6,10,20,100,4,2,100,0
532,869828,3,5,10,100,4,3,100,0
533,1043068,5,5,10,100,4,2,100,0
534,1056171,4,5,10,100,4,2,100,0
535,1061990,3,5,30,200,4,3,100,0
536,1113061,7,5,10,100,4,3,100,0
537,1116192,7,5,20,100,4,3,100,0
538,1135090,6,5,10,100,4,2,100,0
539,1145420,8,5,10,100,4,2,100,0
540,1158157,7,5,10,100,8,2,100,0
541,1171578,5,5,10,100,4,1,100,0
542,1174841,7,15,10,100,4,1,100,0
543,1184586,6,5,10,100,4,2,100,0
544,1186936,4,5,30,200,4,2,100,0
545,1197527,7,5,10,100,4,2,100,0
546,1222464,8,50,100,1000,40,7,1000,1
547,1240603,4,5,10,100,4,1,100,0
548,1240603,5,5,10,100,4,1,100,0
549,1241035,9,40,30,700,20,7,800,1
550,1287971,5,5,10,100,4,2,100,0
551,1289391,3,5,10,100,4,3,100,0
552,1299924,5,10,20,200,4,4,200,0
553,1306339,6,20,20,100,20,2,100,0
554,1313658,5,5,10,100,4,1,100,0
555,1313982,6,15,10,100,4,4,800,0
556,1321264,7,10,20,200,4,2,100,0
557,1321321,7,5,10,300,4,1,100,0
558,1321348,4,5,10,100,4,2,100,0
559,1321931,7,5,10,100,4,2,100,0
560,1321942,7,5,10,100,4,3,100,0
561,1321942,7,5,10,100,4,3,100,0
562,1328331,3,5,10,100,4,3,100,0
563,1328755,5,5,10,100,4,2,100,0
564,1331405,6,5,10,100,4,3,200,0
565,1331412,7,35,100,1000,40,10,1000,1
566,1333104,5,5,20,100,4,3,100,0
567,1334071,6,5,10,100,12,2,100,0
568,1343068,10,20,40,100,40,2,500,1
569,1343374,12,50,80,1000,20,10,300,1
570,1344121,10,50,40,400,40,8,200,1
571,142932,9,30,100,500,40,9,1000,1
572,183936,5,5,10,100,4,2,100,0
573,324382,3,5,10,100,4,2,100,0
574,378275,12,45,70,300,8,7,700,1
575,385103,7,5,20,100,4,3,100,0
576,690557,7,5,10,100,4,2,100,0
577,695091,3,5,10,100,4,2,100,0
578,695219,3,5,10,100,4,2,100,0
579,824249,3,5,10,100,4,3,100,0
580,871549,7,5,20,100,4,2,100,0
581,878358,7,35,100,600,40,7,500,1
582,1107684,8,50,50,500,40,6,1000,1
583,1115762,5,5,10,100,4,1,100,0
584,1217717,7,5,10,600,4,1,100,0
585,1239420,3,5,10,100,4,1,100,0
586,1254538,10,50,100,1000,40,10,1000,1
587,1261751,7,5,10,100,4,2,200,0
588,1268275,11,40,80,900,12,4,100,1
589,1272166,7,5,10,100,4,1,100,0
590,1294261,6,50,80,500,4,10,100,1
591,1295529,4,25,70,600,40,7,600,1
592,1298484,12,15,40,500,40,4,100,1
593,1311875,7,5,20,100,4,1,100,0
594,1315506,6,40,60,300,40,7,100,1
595,1320141,7,5,10,100,4,2,100,0
596,1325309,6,5,20,100,4,2,100,0
597,1333063,7,5,30,100,4,3,100,0
598,1333495,5,5,10,100,4,2,100,0
599,1334659,7,10,40,100,4,1,100,0
600,1336798,5,5,10,100,4,2,100,0
601,1344449,3,5,10,100,4,2,100,0
602,1350568,6,5,10,100,4,2,100,0
603,1352663,7,20,60,800,4,8,1000,1
604,188336,7,15,20,800,40,8,100,1
605,352431,12,25,100,300,32,7,800,1
606,353098,6,5,10,200,4,1,100,0
607,411453,3,5,10,100,4,1,100,0
608,557583,7,50,100,1000,40,10,100,1
609,636375,7,5,10,100,4,1,100,0
610,736150,12,20,30,1000,40,7,100,1
611,803531,7,50,100,1000,8,8,500,1
612,822829,10,50,100,1000,40,10,1000,1
613,1016634,4,15,10,100,4,2,100,0
614,1031608,4,5,10,100,4,2,100,0
615,1041043,6,5,30,100,4,2,100,0
616,1042252,5,5,10,100,4,2,100,0
617,1057067,3,5,10,100,-4,1,100,0
618,1061990,6,5,10,100,4,2,100,0
619,1073836,7,5,10,100,4,2,100,0
620,1083817,5,5,10,100,4,2,100,0
621,1096352,8,15,30,300,8,6,100,0
622,1140597,9,5,20,300,4,2,100,0
623,1149548,3,5,10,100,4,1,100,0
624,1174009,7,5,10,200,4,2,100,0
625,1183596,5,5,30,100,16,1,100,0
626,1190386,6,30,60,500,24,7,700,1
627,1190546,4,5,10,100,20,1,100,0
628,1213273,4,5,10,100,4,1,100,0
629,1218982,6,5,10,100,4,1,100,0
630,1225382,8,10,30,100,4,1,100,0
631,1235807,7,5,10,100,4,2,100,0
632,1238777,3,5,10,100,4,1,100,0
